doi,exemplar,text,alpha,total_length_of_article
YD7S72VZ,3,"as were .83 for observe, .90 diﬀerent samples has b",0.83,64090
YD7S72VZ,4,a in the present 2.4. Procedure study were .88 for,0.88,64090
YD7S72VZ,5,a was .90 in the present study. assigned to the gro,0.9,64090
YDIBAIRT,2,a was 0.89. Prior to the data collection all partic,0.89,35606
YDIBAIRT,3,a was 0.89. Mean SD Range Min Max Impl. self-esteem,0.89,35606
YMQGDXJA,2,"α associations scale = .47), with higher scores ind",0.47,148816
YMQGDXJA,3,"α attitudes scale = .68, Cronbach’s α associations",0.68,148816
YMQGDXJA,4,α associations scale = .48). NIH-PA Author Manuscri,0.48,148816
YPF3DE2I,2,a in this sample was 0.82. both of which are regard,0.82,72437
YPF3DE2I,3,a was 0.90 in this sample. cies and each trial-type,0.9,72437
YPF3DE2I,5,a in this sample was 0.94 for state items and 0.93,0.94,72437
YSYXREDM,2,α = .59) 1. Have you ever gone without eating for 2,0.59,48327
YSYXREDM,3,α = .55) 1. People at my school notice when I am go,0.55,48327
YSYXREDM,4,α = .76) 1. I believe I can choose to not smoke cig,0.76,48327
YSYXREDM,5,"α = .74) 1. During the past 30 days, how many times",0.74,48327
YSYXREDM,6,"α = .88) 1. Have you ever tried cigarette smoking,",0.88,48327
YSYXREDM,7,α = .83) 1. My parents have talked to me about thei,0.83,48327
YSYXREDM,8,α = .51) 1. Since school started this year how many,0.51,48327
YSYXREDM,9,α = .75) 1. Have you ever seriously thought about k,0.75,48327
Z2W2UEEA,2,a Defeat 35.87 12.23 15 75 .95 Entrapment 34.49 34.,0.95,50967
Z7QGBSSA,2,a of .74). The mean score for Brooding in a Colombi,0.74,69682
Z7QGBSSA,3,"a of .89; Ruiz, Suárez Falcón, & Riaño Hernández, i",0.89,69682
Z7QGBSSA,4,"a in a sample of undergraduates (N= 762) was .88, a",0.88,69682
Z7QGBSSA,5,"a of .91 in general population; Ruiz, Suárez Falcón",0.91,69682
Z7UFZGIY,4,"a of .74, scores showed satisfactory reliability. S",0.74,53049
Z7UFZGIY,5,"a of .75, scores showed satisfac- tory reliability.",0.75,53049
ZFBM9PEQ,2,a in the current sample .91 at follow-up. was .65 f,0.91,56542
ZXFR29DN,2,"a ¼ .84 and .79, PASTA received ethical approval by",0.84,64277
ZXFR29DN,3,"a ¼ .84 and .80, respec- of the University Medical",0.84,64277
ZXLDCLUN,2,"as of .89 and .88, To verify the basic assumptions",0.89,49573
ZZ6M57PB,2,"α = .85–.95)(Garin et al., 2010; Üstün, Kostanjsek,",0.85,52709
ZZQIGHJG,2,"a for the present sample was very good (# "" .93). t",0.93,40394
