doi,exemplar,text,alpha,total_length_of_article
10.1037_0022-3514.69.2.237,2,α = .76) and the four-item unintentional thinking m,0.76,106819
10.1037_0022-3514.69.2.237,3,α = .79). All pairwise correlations of items within,0.79,106819
10.1037_0022-3514.69.2.254,1,NA,NA,90416
10.1037_0022-3514.69.2.269,1,NA,NA,68698
10.1037_0022-3514.69.2.280,1,NA,NA,49272
10.1037_0022-3514.69.2.289,1,NA,NA,68137
10.1037_0022-3514.69.2.289,2,a of .82 for their sample. A reliability analysis o,0.82,68137
10.1037_0022-3514.69.2.289,3,a for the Communal Orientation Scale for students i,NA,68137
10.1037_0022-3514.69.2.300,1,NA,NA,33048
10.1037_0022-3514.69.2.308,1,NA,NA,49637
10.1037_0022-3514.69.2.318,1,NA,NA,67694
10.1037_0022-3514.69.2.318,2,"α = .84, skew = 1.31, and kurtosis = .098. And, as",0.84,67694
10.1037_0022-3514.69.2.329,1,NA,NA,76843
10.1037_0022-3514.69.2.341,1,NA,NA,77895
10.1037_0022-3514.69.2.353,1,NA,NA,93003
10.1037_0022-3514.69.2.370,1,NA,NA,62328
10.1037_0022-3514.69.2.381,1,NA,NA,63704
10.1037_0022-3514.69.3.397,1,NA,NA,72560
10.1037_0022-3514.69.3.408,1,NA,NA,75262
10.1037_0022-3514.69.3.419,1,NA,NA,3011
10.1037_0022-3514.69.3.429,1,NA,NA,104590
10.1037_0022-3514.69.3.437,1,NA,NA,69356
10.1037_0022-3514.69.3.449,1,NA,NA,71064
10.1037_0022-3514.69.3.460,1,NA,NA,134622
10.1037_0022-3514.69.3.482,1,NA,NA,85493
10.1037_0022-3514.69.3.482,2,"a = .85).

We performed regression analyses examini",0.85,85493
10.1037_0022-3514.69.3.482,3,"a = .68). As was noted previously, we based our mea",0.68,85493
10.1037_0022-3514.69.3.498,1,NA,NA,45809
10.1037_0022-3514.69.3.505,1,NA,NA,76040
10.1037_0022-3514.69.3.518,1,NA,NA,64149
10.1037_0022-3514.69.3.530,1,NA,NA,85501
10.1037_0022-3514.69.3.544,1,NA,NA,81580
10.1037_0022-3514.69.3.558,1,NA,NA,55073
10.1037_0022-3514.69.3.569,1,NA,NA,68618
10.1037_0022-3514.69.4.589,1,NA,NA,85703
10.1037_0022-3514.69.4.603,1,NA,NA,50909
10.1037_0022-3514.69.4.611,1,NA,NA,52852
10.1037_0022-3514.69.4.619,1,NA,NA,64786
10.1037_0022-3514.69.4.629,1,NA,NA,85937
10.1037_0022-3514.69.4.629,2,"a = .90).

All couples were then told that they had",0.9,85937
10.1037_0022-3514.69.4.642,1,NA,NA,82727
10.1037_0022-3514.69.4.656,1,NA,NA,75572
10.1037_0022-3514.69.4.673,1,NA,NA,61230
10.1037_0022-3514.69.4.673,2,α is .72 for impulsivity and .76 for monotony avoid,0.72,61230
10.1037_0022-3514.69.4.673,3,"α for inhibition of aggression is .69 (Pedersen, Li",0.69,61230
10.1037_0022-3514.69.4.673,4,"α for the hard-driving scale is .70 (Pedersen, Lich",0.7,61230
10.1037_0022-3514.69.4.673,5,"αs for Luck, Life Direction, and Responsibility are",NA,61230
10.1037_0022-3514.69.4.673,6,α is .77 for the Openness to Experience scale (Berg,0.77,61230
10.1037_0022-3514.69.4.673,7,"α) estimates of .57 for depression, .64 for somatic",0.57,61230
10.1037_0022-3514.69.4.673,8,"α for the hostility scale is .83 (Pedersen, Lichten",0.83,61230
10.1037_0022-3514.69.4.673,9,"α for this scale is .81.

**State anxiety**

Three",0.81,61230
10.1037_0022-3514.69.4.686,1,NA,NA,84310
10.1037_0022-3514.69.4.701,1,NA,NA,63213
10.1037_0022-3514.69.4.719,1,NA,NA,45744
10.1037_0022-3514.69.4.728,1,NA,NA,53751
10.1037_0022-3514.69.4.736,1,NA,NA,55058
10.1037_0022-3514.69.4.744,1,NA,NA,71743
10.1037_0022-3514.69.4.759,1,NA,NA,117811
10.1037_0022-3514.69.4.778,1,NA,NA,56948
10.1037_0022-3514.69.5.797,1,NA,NA,96222
10.1037_0022-3514.69.5.812,1,NA,NA,82750
10.1037_0022-3514.69.5.825,1,NA,NA,86804
10.1037_0022-3514.69.5.839,1,NA,NA,74508
10.1037_0022-3514.69.5.851,1,NA,NA,72865
10.1037_0022-3514.69.5.851,2,"a of .88, and correlated highly with the individual",0.88,72865
10.1037_0022-3514.69.5.865,1,NA,NA,70164
10.1037_0022-3514.69.5.877,1,NA,NA,74625
10.1037_0022-3514.69.5.890,1,NA,NA,77166
10.1037_0022-3514.69.5.903,1,NA,NA,59633
10.1037_0022-3514.69.5.903,2,"as, were .94, .83, .90, .85, and .95 for the Achiev",0.94,59633
10.1037_0022-3514.69.5.903,3,"as of .96, .86, .93, .88, and .96 for the Achieveme",0.96,59633
10.1037_0022-3514.69.5.915,1,NA,NA,63096
10.1037_0022-3514.69.5.925,1,NA,NA,73597
10.1037_0022-3514.69.5.938,1,NA,NA,48897
10.1037_0022-3514.69.5.950,1,NA,NA,64208
10.1037_0022-3514.69.5.961,1,NA,NA,76472
10.1037_0022-3514.69.5.975,1,NA,NA,94596
10.1037_0022-3514.69.5.990,1,NA,NA,77935
10.1037_0022-3514.69.6.1052,1,NA,NA,106922
10.1037_0022-3514.69.6.1069,1,NA,NA,118526
10.1037_0022-3514.69.6.1089,1,NA,NA,72268
10.1037_0022-3514.69.6.1102,1,NA,NA,79534
10.1037_0022-3514.69.6.1113,1,NA,NA,41793
10.1037_0022-3514.69.6.1120,1,NA,NA,127087
10.1037_0022-3514.69.6.1120,2,"α = .72.

**Self-presentation scores of interviewer",0.72,127087
10.1037_0022-3514.69.6.1120,3,"α = .89.

As in Studies 1 and 2, interviewers' self",0.89,127087
10.1037_0022-3514.69.6.1141,1,NA,NA,66014
10.1037_0022-3514.69.6.1151,1,NA,NA,59752
10.1037_0022-3514.69.6.1161,1,NA,NA,31158
10.1037_0022-3514.69.6.1166,1,NA,NA,43304
10.1037_0022-3514.69.6.1173,1,NA,NA,64772
10.1037_0022-3514.69.6.1184,1,NA,NA,101026
10.1037_0022-3514.69.6.1203,1,NA,NA,75631
10.1037_0022-3514.69.6.1203,2,"α = .84), the 50 ratings were averaged into a globa",0.84,75631
10.1037_0022-3514.69.6.1203,3,"α = .82), the 50 ratings were averaged into a globa",0.82,75631
10.1037_0022-3514.69.6.1203,4,α = .93) and thus were averaged into a global score,0.93,75631
10.1037_0022-3514.69.6.1216,1,NA,NA,99326
10.1037_0022-3514.69.6.1233,1,NA,NA,57817
10.1037_0022-3514.70.2.205,1,NA,NA,76372
10.1037_0022-3514.70.2.219,1,NA,NA,72159
10.1037_0022-3514.70.2.230,1,NA,NA,68910
10.1037_0022-3514.70.2.241,1,NA,NA,83182
10.1037_0022-3514.70.2.255,1,NA,NA,78822
10.1037_0022-3514.70.2.271,1,NA,NA,67506
10.1037_0022-3514.70.2.271,2,"as ranging from .72 (T1) to .84 (T3).

**Social Con",NA,67506
10.1037_0022-3514.70.2.271,3,as ranging from .77 (T1) to .81 (T3). A possible ex,NA,67506
10.1037_0022-3514.70.2.283,1,NA,NA,79086
10.1037_0022-3514.70.2.295,1,NA,NA,82018
10.1037_0022-3514.70.2.310,1,NA,NA,64136
10.1037_0022-3514.70.2.321,1,NA,NA,96061
10.1037_0022-3514.70.2.321,2,as computed on each of the 30 days for the three ag,NA,96061
10.1037_0022-3514.70.2.321,3,as computed on each of the 30 days for the three pa,NA,96061
10.1037_0022-3514.70.2.321,4,"as, as well as the item-remainder coefficients, rou",NA,96061
10.1037_0022-3514.70.2.321,5,as were computed for the pre and post time periods.,NA,96061
10.1037_0022-3514.70.2.321,6,as computed for the pre and post time periods were,NA,96061
10.1037_0022-3514.70.2.321,7,"a for the overall State Hope Scale was .88, with it",NA,96061
10.1037_0022-3514.70.2.336,1,NA,NA,68185
10.1037_0022-3514.70.2.349,1,NA,NA,68708
10.1037_0022-3514.70.2.362,1,NA,NA,64694
10.1037_0022-3514.70.2.372,1,NA,NA,45849
10.1037_0022-3514.70.2.381,1,NA,NA,84849
10.1037_0022-3514.70.3.491,1,NA,NA,127450
10.1037_0022-3514.70.3.513,1,NA,NA,61339
10.1037_0022-3514.70.3.523,1,NA,NA,76197
10.1037_0022-3514.70.3.535,1,NA,NA,101127
10.1037_0022-3514.70.3.552,1,NA,NA,80778
10.1037_0022-3514.70.3.567,1,NA,NA,70328
10.1037_0022-3514.70.3.578,1,NA,NA,72343
10.1037_0022-3514.70.3.591,1,NA,NA,46927
10.1037_0022-3514.70.3.599,1,NA,NA,87627
10.1037_0022-3514.70.3.614,1,NA,NA,104454
10.1037_0022-3514.70.3.637,1,NA,NA,55692
10.1037_0022-3514.70.5.1012,1,NA,NA,72064
10.1037_0022-3514.70.5.1025,1,NA,NA,79326
10.1037_0022-3514.70.5.1037,1,NA,NA,95793
10.1037_0022-3514.70.5.1052,1,NA,NA,87932
10.1037_0022-3514.70.5.1052,2,α = .87) and cognitive avoidance (α = .88) scales w,0.87,87932
10.1037_0022-3514.70.5.1067,1,NA,NA,78262
10.1037_0022-3514.70.5.1080,1,NA,NA,72043
10.1037_0022-3514.70.5.1091,1,NA,NA,68256
10.1037_0022-3514.70.5.893,1,NA,NA,133858
10.1037_0022-3514.70.5.913,1,NA,NA,89942
10.1037_0022-3514.70.5.913,2,as of the instrumental judgments about authority sc,NA,89942
10.1037_0022-3514.70.5.913,3,"a for this scale was .83.

Group-Oriented Attitudes",0.83,89942
10.1037_0022-3514.70.5.913,4,"a for this scale was .59.

Extrarole behaviors

In",0.59,89942
10.1037_0022-3514.70.5.913,5,as for the group commitment scales in the work and,NA,89942
10.1037_0022-3514.70.5.931,1,NA,NA,81624
10.1037_0022-3514.70.5.945,1,NA,NA,92744
10.1037_0022-3514.70.5.961,1,NA,NA,122932
10.1037_0022-3514.70.5.979,1,NA,NA,86898
10.1037_0022-3514.70.5.996,1,NA,NA,69991
10.1037_0022-3514.70.6.1114,1,NA,NA,3340
10.1037_0022-3514.70.6.1117,1,NA,NA,57913
10.1037_0022-3514.70.6.1117,2,a coefficient measure of reliability for this 8-ite,NA,57913
10.1037_0022-3514.70.6.1117,3,a coefficient measure of reliability for this 10-it,NA,57913
10.1037_0022-3514.70.6.1126,1,NA,NA,106605
10.1037_0022-3514.70.6.1142,1,NA,NA,127429
10.1037_0022-3514.70.6.1164,1,NA,NA,140699
10.1037_0022-3514.70.6.1185,1,NA,NA,87126
10.1037_0022-3514.70.6.1205,1,NA,NA,79977
10.1037_0022-3514.70.6.1218,1,NA,NA,68553
10.1037_0022-3514.70.6.1231,1,NA,NA,58161
10.1037_0022-3514.70.6.1241,1,NA,NA,50652
10.1037_0022-3514.70.6.1250,1,NA,NA,9257
10.1037_0022-3514.70.6.1252,1,NA,NA,26447
10.1037_0022-3514.70.6.1256,1,NA,NA,75203
10.1037_0022-3514.70.6.1270,1,NA,NA,69311
10.1037_0022-3514.70.6.1281,1,NA,NA,37241
10.1037_0022-3514.70.6.1288,1,NA,NA,70833
10.1037_0022-3514.70.6.1288,2,"as for male and female composites, respectively, we",NA,70833
10.1037_0022-3514.70.6.1288,3,"as for male and female composites, respectively, we",NA,70833
10.1037_0022-3514.70.6.1288,4,"as for male and female composites, respectively, we",NA,70833
10.1037_0022-3514.70.6.1288,5,a was .86 for boys and .79 for girls. (3) Low self-,0.86,70833
10.1037_0022-3514.70.6.1288,6,a was .69 for both boys and girls. (5) Passivity: “,0.69,70833
10.1037_0022-3514.70.6.1288,7,a was .67 for both boys and girls. (6) Compliance f,0.67,70833
10.1037_0022-3514.70.6.1288,8,a was .89 for boys and .76 for girls. (7) High self,0.89,70833
10.1037_0022-3514.70.6.1288,9,a was .81 for boys and .90 for girls. (8) Construct,0.81,70833
10.1037_0022-3514.70.6.1288,10,"a was .84 for boys and .83 for girls.

In addition,",0.84,70833
10.1037_0022-3514.70.6.1288,11,"a was .68 for boys and .63 for girls.

The developm",0.68,70833
10.1037_0022-3514.70.6.1288,12,"as of the male and female scales, respectively, wer",NA,70833
10.1037_0022-3514.70.6.1307,1,NA,NA,53872
10.1037_0022-3514.70.6.1307,2,"as were .86 and .81).

We used the SCL-90-R (Deroga",0.86,53872
10.1037_0022-3514.70.6.1307,3,"as were .88 and .83).

Results  


Although the lon",0.88,53872
10.1037_0022-3514.70.6.1318,1,NA,NA,60647
10.1037_0022-3514.70.6.1327,1,NA,NA,102002
10.1037_0022-3514.71.1.110,1,NA,NA,100724
10.1037_0022-3514.71.1.110,2,"and his colleagues (Cronbach, 1955; Cronbach &amp;",NA,100724
10.1037_0022-3514.71.1.130,1,NA,NA,68033
10.1037_0022-3514.71.1.141,1,NA,NA,69607
10.1037_0022-3514.71.1.152,1,NA,NA,83285
10.1037_0022-3514.71.1.166,1,NA,NA,87711
10.1037_0022-3514.71.1.166,2,a coefficients of the 10-item social support and th,NA,87711
10.1037_0022-3514.71.1.166,3,"a coefficients ranging from .67 to .71.

In the one",NA,87711
10.1037_0022-3514.71.1.166,4,a coefficients of .75 and .82 for measures that con,0.75,87711
10.1037_0022-3514.71.1.180,1,NA,NA,82802
10.1037_0022-3514.71.1.193,1,NA,NA,86455
10.1037_0022-3514.71.1.25,1,NA,NA,95652
10.1037_0022-3514.71.1.25,2,as for these indices ranged from .82 to .87 in Stud,NA,95652
10.1037_0022-3514.71.1.39,1,NA,NA,99154
10.1037_0022-3514.71.1.5,1,NA,NA,114153
10.1037_0022-3514.71.1.54,1,NA,NA,83810
10.1037_0022-3514.71.1.71,1,NA,NA,71653
10.1037_0022-3514.71.1.83,1,NA,NA,70969
10.1037_0022-3514.71.1.94,1,NA,NA,100211
10.1037_0022-3514.71.2.210,1,NA,NA,4056
10.1037_0022-3514.71.2.213,1,NA,NA,107371
10.1037_0022-3514.71.2.230,1,NA,NA,102500
10.1037_0022-3514.71.2.245,1,NA,NA,99762
10.1037_0022-3514.71.2.245,2,"a = .69), as in Murray et al. (1990), but because t",0.69,99762
10.1037_0022-3514.71.2.262,1,NA,NA,88860
10.1037_0022-3514.71.2.276,1,NA,NA,74176
10.1037_0022-3514.71.2.288,1,NA,NA,63805
10.1037_0022-3514.71.2.300,1,NA,NA,91469
10.1037_0022-3514.71.2.315,1,NA,NA,91523
10.1037_0022-3514.71.2.331,1,NA,NA,61693
10.1037_0022-3514.71.2.341,1,NA,NA,55862
10.1037_0022-3514.71.2.352,1,NA,NA,76452
10.1037_0022-3514.71.2.364,1,NA,NA,66845
10.1037_0022-3514.71.2.375,1,NA,NA,96341
10.1037_0022-3514.71.2.390,1,NA,NA,85393
10.1037_0022-3514.71.2.406,1,NA,NA,51962
10.1037_0022-3514.71.2.406,2,a for the Life Orientation Test has been acceptable,NA,51962
10.1037_0022-3514.71.2.406,3,as for this questionnaire taken from various sample,NA,51962
10.1037_0022-3514.71.3.421,1,NA,NA,55348
10.1037_0022-3514.71.3.431,1,NA,NA,111222
10.1037_0022-3514.71.3.450,1,NA,NA,94343
10.1037_0022-3514.71.3.464,1,NA,NA,103692
10.1037_0022-3514.71.3.479,1,NA,NA,106975
10.1037_0022-3514.71.3.498,1,NA,NA,94207
10.1037_0022-3514.71.3.512,1,NA,NA,103801
10.1037_0022-3514.71.3.512,2,"α = .70.

Order of presentation of dependent variab",0.7,103801
10.1037_0022-3514.71.3.512,3,a of the Italian version for the combined subscales,NA,103801
10.1037_0022-3514.71.3.527,1,NA,NA,58457
10.1037_0022-3514.71.3.536,1,NA,NA,72053
10.1037_0022-3514.71.3.549,1,NA,NA,109863
10.1037_0022-3514.71.3.571,1,NA,NA,88351
10.1037_0022-3514.71.3.588,1,NA,NA,85585
10.1037_0022-3514.71.3.588,2,as for college students exposed to a trauma ranged,NA,85585
10.1037_0022-3514.71.3.603,1,NA,NA,74031
10.1037_0022-3514.71.3.616,1,NA,NA,73204
10.1037_0022-3514.71.4.637,1,NA,NA,106889
10.1037_0022-3514.71.4.637,2,"a = .37, .41, and .40 for the three questions, resp",0.37,106889
10.1037_0022-3514.71.4.637,3,"a. Given the relative novelty of this perspective,",NA,106889
10.1037_0022-3514.71.4.654,1,NA,NA,74165
10.1037_0022-3514.71.4.665,1,NA,NA,92491
10.1037_0022-3514.71.4.680,1,NA,NA,78886
10.1037_0022-3514.71.4.680,2,α = .63) and was reverse-scored such that higher nu,0.63,78886
10.1037_0022-3514.71.4.680,3,α = .58). There were no significant differences in,0.58,78886
10.1037_0022-3514.71.4.680,4,α = .84). Although no overall significant effect fo,0.84,78886
10.1037_0022-3514.71.4.692,1,NA,NA,51724
10.1037_0022-3514.71.4.703,1,NA,NA,83512
10.1037_0022-3514.71.4.717,1,NA,NA,75206
10.1037_0022-3514.71.4.729,1,NA,NA,93884
10.1037_0022-3514.71.4.746,1,NA,NA,97603
10.1037_0022-3514.71.4.763,1,NA,NA,75741
10.1037_0022-3514.71.4.777,1,NA,NA,26425
10.1037_0022-3514.71.4.781,1,NA,NA,24095
10.1037_0022-3514.71.4.785,1,NA,NA,65284
10.1037_0022-3514.71.4.796,1,NA,NA,81013
10.1037_0022-3514.71.4.810,1,NA,NA,140186
10.1037_0022-3514.71.5.1006,1,NA,NA,84378
10.1037_0022-3514.71.5.1020,1,NA,NA,110361
10.1037_0022-3514.71.5.1020,2,"αs = .89 and .76, respectively) and were averaged t",0.89,110361
10.1037_0022-3514.71.5.1020,3,αs = .96 and .95). There was a main effect of strat,0.96,110361
10.1037_0022-3514.71.5.1020,4,α = .83) and is depicted in Table 3. A 2 (strategy),0.83,110361
10.1037_0022-3514.71.5.1037,1,NA,NA,86805
10.1037_0022-3514.71.5.842,1,NA,NA,3027
10.1037_0022-3514.71.5.845,1,NA,NA,109588
10.1037_0022-3514.71.5.861,1,NA,NA,80155
10.1037_0022-3514.71.5.874,1,NA,NA,83253
10.1037_0022-3514.71.5.888,1,NA,NA,70394
10.1037_0022-3514.71.5.899,1,NA,NA,108123
10.1037_0022-3514.71.5.915,1,NA,NA,82616
10.1037_0022-3514.71.5.928,1,NA,NA,50500
10.1037_0022-3514.71.5.937,1,NA,NA,91350
10.1037_0022-3514.71.5.953,1,NA,NA,80814
10.1037_0022-3514.71.5.967,1,NA,NA,86411
10.1037_0022-3514.71.5.980,1,NA,NA,69734
10.1037_0022-3514.71.5.992,1,NA,NA,74075
10.1037_0022-3514.71.6.1062,1,NA,NA,149676
10.1037_0022-3514.71.6.1084,1,NA,NA,50813
10.1037_0022-3514.71.6.1092,1,NA,NA,105976
10.1037_0022-3514.71.6.1108,1,NA,NA,140694
10.1037_0022-3514.71.6.1130,1,NA,NA,77233
10.1037_0022-3514.71.6.1142,1,NA,NA,81124
10.1037_0022-3514.71.6.1155,1,NA,NA,146625
10.1037_0022-3514.71.6.1181,1,NA,NA,85699
10.1037_0022-3514.71.6.1194,1,NA,NA,96090
10.1037_0022-3514.71.6.1210,1,NA,NA,72280
10.1037_0022-3514.71.6.1222,1,NA,NA,79001
10.1037_0022-3514.71.6.1235,1,NA,NA,90013
10.1037_0022-3514.71.6.1250,1,NA,NA,121105
10.1037_0022-3514.71.6.1268,1,NA,NA,65876
10.1037_0022-3514.71.6.1279,1,NA,NA,106629
10.1037_0022-3514.72.1.105,1,NA,NA,91954
10.1037_0022-3514.72.1.105,2,α = .78 overall; .79 and .76 for participants expre,0.78,91954
10.1037_0022-3514.72.1.105,3,α = .93). Mean score on this empathy index for part,0.93,91954
10.1037_0022-3514.72.1.105,4,α = .87). Mean response on this attitude index for,0.87,91954
10.1037_0022-3514.72.1.105,5,α = .91). Indicating the effectiveness of the manip,0.91,91954
10.1037_0022-3514.72.1.105,6,α = .70). Responses on this attitude index were low,0.7,91954
10.1037_0022-3514.72.1.105,7,α = .78). To facilitate comparison of responses on,0.78,91954
10.1037_0022-3514.72.1.119,1,NA,NA,76515
10.1037_0022-3514.72.1.132,1,NA,NA,54153
10.1037_0022-3514.72.1.141,1,NA,NA,64400
10.1037_0022-3514.72.1.151,1,NA,NA,80105
10.1037_0022-3514.72.1.164,1,NA,NA,70606
10.1037_0022-3514.72.1.177,1,NA,NA,41443
10.1037_0022-3514.72.1.184,1,NA,NA,73347
10.1037_0022-3514.72.1.196,1,NA,NA,52174
10.1037_0022-3514.72.1.207,1,NA,NA,54459
10.1037_0022-3514.72.1.218,1,NA,NA,95213
10.1037_0022-3514.72.1.218,2,α = .88) and construct validity. Correlates of the,0.88,95213
10.1037_0022-3514.72.1.218,3,"α = .86).

**Competence expectancy**

Two items ass",0.86,95213
10.1037_0022-3514.72.1.218,4,"α = .82).

**Achievement goals**

An achievement go",0.82,95213
10.1037_0022-3514.72.1.218,5,"α = .89).

**Intrinsic motivation**

Eight items we",0.89,95213
10.1037_0022-3514.72.1.218,6,"α = .91, .89, and .77, respectively). Thus, the res",0.91,95213
10.1037_0022-3514.72.1.218,7,"α = .92).

#### Descriptive Statistics and Zero-Ord",0.92,95213
10.1037_0022-3514.72.1.218,8,α = .86). Inclusion of this variable into the regre,0.86,95213
10.1037_0022-3514.72.1.233,1,NA,NA,48895
10.1037_0022-3514.72.1.24,1,NA,NA,84588
10.1037_0022-3514.72.1.37,1,NA,NA,107677
10.1037_0022-3514.72.1.5,1,NA,NA,114695
10.1037_0022-3514.72.1.54,1,NA,NA,84979
10.1037_0022-3514.72.1.66,1,NA,NA,57315
10.1037_0022-3514.72.1.75,1,NA,NA,63706
10.1037_0022-3514.72.1.86,1,NA,NA,48340
10.1037_0022-3514.72.1.95,1,NA,NA,64680
10.1037_0022-3514.72.2.253,1,NA,NA,60324
10.1037_0022-3514.72.2.262,1,NA,NA,84327
10.1037_0022-3514.72.2.275,1,NA,NA,89896
10.1037_0022-3514.72.2.275,2,α = .92; M s and SD s for the high- and low-prejudi,0.92,89896
10.1037_0022-3514.72.2.288,1,NA,NA,106375
10.1037_0022-3514.72.2.305,1,NA,NA,97558
10.1037_0022-3514.72.2.305,2,"αs = .92 and .93, for the first and second administ",0.92,97558
10.1037_0022-3514.72.2.320,1,NA,NA,89219
10.1037_0022-3514.72.2.336,1,NA,NA,63118
10.1037_0022-3514.72.2.346,1,NA,NA,82419
10.1037_0022-3514.72.2.362,1,NA,NA,68898
10.1037_0022-3514.72.2.373,1,NA,NA,103574
10.1037_0022-3514.72.2.373,2,a for the measure of trait self-esteem was .81 in S,0.81,103574
10.1037_0022-3514.72.2.373,3,a for the Performance State Self-Esteem subscale wa,NA,103574
10.1037_0022-3514.72.2.373,4,a computed for the Social State Self-Esteem subscal,NA,103574
10.1037_0022-3514.72.2.373,5,a for the four items measuring performance perceive,NA,103574
10.1037_0022-3514.72.2.373,6,a for the four items assessing perceived control wi,NA,103574
10.1037_0022-3514.72.2.390,1,NA,NA,53452
10.1037_0022-3514.72.2.399,1,NA,NA,58199
10.1037_0022-3514.72.2.399,2,"α = .46). As Bollen and Lennox (1991) pointed out,",0.46,58199
10.1037_0022-3514.72.2.408,1,NA,NA,61440
10.1037_0022-3514.72.2.420,1,NA,NA,93668
10.1037_0022-3514.72.2.435,1,NA,NA,78304
10.1037_0022-3514.72.2.449,1,NA,NA,37833
10.1037_0022-3514.72.2.456,1,NA,NA,60582
10.1037_0022-3514.72.2.467,1,NA,NA,52016
10.1037_0022-3514.72.2.467,2,α = .86 for the five childhood assessments and .73,0.86,52016
10.1037_0022-3514.72.3.485,1,NA,NA,44959
10.1037_0022-3514.72.3.492,1,NA,NA,31049
10.1037_0022-3514.72.3.497,1,NA,NA,23726
10.1037_0022-3514.72.3.501,1,NA,NA,85745
10.1037_0022-3514.72.3.515,1,NA,NA,73771
10.1037_0022-3514.72.3.526,1,NA,NA,114146
10.1037_0022-3514.72.3.544,1,NA,NA,86512
10.1037_0022-3514.72.3.558,1,NA,NA,74146
10.1037_0022-3514.72.3.570,1,NA,NA,62000
10.1037_0022-3514.72.3.581,1,NA,NA,66819
10.1037_0022-3514.72.3.592,1,NA,NA,79468
10.1037_0022-3514.72.3.592,2,α = .77). To increase the reliability of the measur,0.77,79468
10.1037_0022-3514.72.3.592,3,a for the overall measure of satisfaction (hereafte,NA,79468
10.1037_0022-3514.72.3.604,1,NA,NA,80303
10.1037_0022-3514.72.3.617,1,NA,NA,67507
10.1037_0022-3514.72.3.627,1,NA,NA,70128
10.1037_0022-3514.72.3.627,2,α) for these scales were generally adequate (see th,NA,70128
10.1037_0022-3514.72.3.641,1,NA,NA,68932
10.1037_0022-3514.72.3.652,1,NA,NA,83339
10.1037_0022-3514.72.3.664,1,NA,NA,91444
10.1037_0022-3514.72.3.678,1,NA,NA,111629
10.1037_0022-3514.72.5.1002,1,NA,NA,95091
10.1037_0022-3514.72.5.1017,1,NA,NA,106328
10.1037_0022-3514.72.5.1034,1,NA,NA,84397
10.1037_0022-3514.72.5.1047,1,NA,NA,91693
10.1037_0022-3514.72.5.1047,2,α = .86) and test–retest reliability. Participants,0.86,91693
10.1037_0022-3514.72.5.1061,1,NA,NA,86227
10.1037_0022-3514.72.5.1075,1,NA,NA,112228
10.1037_0022-3514.72.5.1093,1,NA,NA,83139
10.1037_0022-3514.72.5.949,1,NA,NA,101932
10.1037_0022-3514.72.5.965,1,NA,NA,88180
10.1037_0022-3514.72.5.965,2,"α = .91). As expected, exposure to a moderate intro",0.91,88180
10.1037_0022-3514.72.5.965,3,"α = .94). As expected, the extremely unassertive ta",0.94,88180
10.1037_0022-3514.72.5.965,4,"α = .94). As can be seen in Figure 2, the key findi",0.94,88180
10.1037_0022-3514.72.5.965,5,α = .79). The moderate target was viewed as slightl,0.79,88180
10.1037_0022-3514.72.5.965,6,"α = .75). As expected, the 2 (participant's prior s",0.75,88180
10.1037_0022-3514.72.5.965,7,"α = .87). As expected, the impact of the moderate a",0.87,88180
10.1037_0022-3514.72.5.965,8,"α = .79). As in Study 3, extreme-stereotype partici",0.79,88180
10.1037_0022-3514.72.5.965,9,α = .91). A 2 (prior stereotype) × 2 (condition) AN,0.91,88180
10.1037_0022-3514.72.5.980,1,NA,NA,148040
10.1037_0022-3514.72.6.1245,1,NA,NA,138390
10.1037_0022-3514.72.6.1268,1,NA,NA,98502
10.1037_0022-3514.72.6.1268,2,as for the four target universities ranged from .68,NA,98502
10.1037_0022-3514.72.6.1268,3,"as ranged from .82 to .86), especially given that e",NA,98502
10.1037_0022-3514.72.6.1284,1,NA,NA,82593
10.1037_0022-3514.72.6.1297,1,NA,NA,80294
10.1037_0022-3514.72.6.1310,1,NA,NA,73185
10.1037_0022-3514.72.6.1322,1,NA,NA,65927
10.1037_0022-3514.72.6.1335,1,NA,NA,89588
10.1037_0022-3514.72.6.1349,1,NA,NA,95289
10.1037_0022-3514.72.6.1364,1,NA,NA,48976
10.1037_0022-3514.72.6.1373,1,NA,NA,140272
10.1037_0022-3514.72.6.1396,1,NA,NA,91655
10.1037_0022-3514.72.6.1413,1,NA,NA,91059
10.1037_0022-3514.72.6.1429,1,NA,NA,76027
10.1037_0022-3514.72.6.1440,1,NA,NA,50501
10.1037_0022-3514.72.6.1448,1,NA,NA,80880
10.1037_0022-3514.72.6.1460,1,NA,NA,101879
10.1037_0022-3514.73.1.104,1,NA,NA,66736
10.1037_0022-3514.73.1.114,1,NA,NA,86592
10.1037_0022-3514.73.1.129,1,NA,NA,56426
10.1037_0022-3514.73.1.139,1,NA,NA,53480
10.1037_0022-3514.73.1.149,1,NA,NA,60455
10.1037_0022-3514.73.1.160,1,NA,NA,71143
10.1037_0022-3514.73.1.160,2,"a was .85.

The composite winner’s strength variabl",0.85,71143
10.1037_0022-3514.73.1.160,3,"a was .86.

A regression equation was formed by ent",0.86,71143
10.1037_0022-3514.73.1.171,1,NA,NA,88653
10.1037_0022-3514.73.1.171,2,"α = .85).

Hostile press

We used Birney et al.’s (",0.85,88653
10.1037_0022-3514.73.1.171,3,"α = .92).

**Development of the Achievement Goals Q",0.92,88653
